track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5FgPwJ7Nh2FVmIXviKl2VF,Make You Feel My Love,4dpARuHxo51G3z768sgnrY,Adele,59ULskOkBMij4zL8pS7mi0,212040,2008-01-28,73,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2aBxt229cbLDOvtL7Xbb9x,Always Be My Baby,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1ibYM4abQtSVQFQWvDSo4J,258133,1995-10-03,73,0.65,0.531,4,-8.335,1,0.0364,0.457,0.0,0.249,0.487,78.946,37i9dQZF1DWYMvTygsLWlG,Love Ballads
28UMiBhn383n9S7GL4tsxD,"Because You Loved Me (Theme from ""Up Close and Personal"")",4S9EykWXhStSc15wEx8QFK,Céline Dion,2vk0n8aeQSO74VtQBbNDPR,273666,1996-02-28,74,0.615,0.467,1,-9.883,1,0.0327,0.314,0.0,0.099,0.177,119.919,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0gcjc7Vt5xtcfmJgf6g2IO,When You Say Nothing At All,3nlHsNqwCSvT988ZfSW1Yh,Ronan Keating,3T9Imnmd2Amt5lyDMqlFq9,256825,2000-01-01,73,0.461,0.448,7,-10.665,1,0.0246,0.161,1.18e-06,0.0811,0.418,173.86,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,52kvZcbEDm0v2kWZQXjuuA,259550,2017-11-30,73,0.587,0.299,8,-7.365,1,0.0263,0.779,0.0,0.123,0.356,94.992,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1eyq8cjUQ2daFthW2PC2GM,Glory of Love,5xWPOujQqd4wXyB08slZ9Z,Peter Cetera,1O2sEdKLsSHROEyYgUQmnb,258333,1986,73,0.52,0.61,5,-7.935,1,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,37i9dQZF1DWYMvTygsLWlG,Love Ballads
35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,41zXjyVr6dzmchWf8tv3UO,230093,2000-11-21,73,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3Nf8oGn1okobzjDcFCvT6n,I'll Stand by You,0GByy3DcfbQwDvXGCWmzv9,Pretenders,6MH35oajuCbpS9YBmwTrPf,240760,1994-06-01,72,0.438,0.606,7,-6.549,1,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,37i9dQZF1DWYMvTygsLWlG,Love Ballads
49MHCPzvMLXhRjDantBMVH,Just the Way You Are,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,1Mhn9VosyjtWn4dMPFlna6,290573,1977,72,0.589,0.453,7,-8.912,1,0.0397,0.703,2.54e-05,0.134,0.513,139.148,37i9dQZF1DWYMvTygsLWlG,Love Ballads
5GorFaKkP2mLREQvhSblIg,All My Life,05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo,5cmtcMzuUZq8vxS5T7NVPu,331240,1997-01-01,71,0.629,0.511,1,-8.651,1,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6Hu6dzwlvoyg3zBUC8k4BK,Sailing,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,2m2nl8cBT7bEgIA6LLmgah,256146,1979,71,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6qc34bnVOyqGDPni8H5W0U,Amazed,3qbnxnvUqR14MJ9g8QwZJK,Lonestar,7ykiOoPC4GLrVYSDVdDGq2,240866,1999,71,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,37i9dQZF1DWYMvTygsLWlG,Love Ballads
5QYnNhTKsN3kE7OaqILA1U,First Times,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,32iAEBstCjauDhyKpGjTuq,185853,2021-10-29,73,0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845,37i9dQZF1DWYMvTygsLWlG,Love Ballads
